Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,30.600000,30.600000,29.190001,29.645000,29.645000,97480
2016-01-05,29.697500,29.980000,29.280001,29.520000,29.520000,88040
2016-01-06,29.487499,29.735001,28.572500,29.580000,29.580000,67400
2016-01-07,28.764999,29.032499,28.132500,28.799999,28.799999,155000
2016-01-08,28.382500,28.795000,28.075001,28.075001,28.075001,76740
2016-01-11,27.934999,28.502501,27.735001,27.915001,27.915001,39080
2016-01-12,28.225000,28.910000,28.105000,28.655001,28.655001,68480
2016-01-13,28.777500,28.950001,27.587500,27.855000,27.855000,80540
2016-01-14,27.040001,27.559999,25.952499,27.254999,27.254999,144160
2016-01-15,27.250000,27.250000,25.754999,26.112499,26.112499,70040
2016-01-18,26.174999,26.495001,26.100000,26.277500,26.277500,65660
2016-01-19,26.650000,26.945000,26.455000,26.455000,26.455000,104820
2016-01-20,25.799999,25.910000,25.100000,25.272499,25.272499,82560
2016-01-21,26.049999,27.094999,25.887501,26.867500,26.867500,54980
2016-01-22,26.950001,27.492500,26.887501,27.385000,27.385000,71200
2016-01-25,27.700001,28.087500,27.500000,27.750000,27.750000,81000
2016-01-26,27.325001,27.900000,27.077499,27.277500,27.277500,52560
2016-01-27,27.572500,27.602501,27.014999,27.315001,27.315001,34060
2016-01-28,27.549999,28.139999,27.105000,27.945000,27.945000,167040
2016-01-29,25.799999,27.360001,25.517500,26.885000,26.885000,505480
2016-02-01,27.040001,27.040001,26.117500,26.542500,26.542500,91800
2016-02-02,26.299999,26.327499,25.582500,25.700001,25.700001,64000
2016-02-03,25.320000,25.475000,23.695000,24.080000,24.080000,111780
2016-02-04,24.075001,24.112499,23.062500,23.719999,23.719999,101180
2016-02-05,23.775000,23.997499,22.535000,22.752501,22.752501,61260
2016-02-08,22.620001,22.620001,21.250000,21.532499,21.532499,194960
2016-02-09,21.610001,22.100000,21.059999,21.594999,21.594999,92140
2016-02-10,21.450001,22.582500,21.375000,22.215000,22.215000,114100
2016-02-11,21.975000,22.084999,21.162500,21.760000,21.760000,84840
2016-02-12,22.424999,22.959999,22.417500,22.959999,22.959999,101380
2016-02-15,23.035000,23.410000,22.977501,23.290001,23.290001,61520
2016-02-16,23.427500,23.490000,22.834999,23.072500,23.072500,49760
2016-02-17,23.262501,23.895000,23.162500,23.895000,23.895000,68480
2016-02-18,24.250000,24.462500,23.730000,24.075001,24.075001,89680
2016-02-19,23.750000,23.932501,23.225000,23.809999,23.809999,33280
2016-02-22,24.434999,25.387501,24.434999,25.387501,25.387501,46860
2016-02-23,25.287500,25.420000,24.754999,24.857500,24.857500,69820
2016-02-24,25.219999,25.219999,24.100000,24.262501,24.262501,57300
2016-02-25,25.100000,25.400000,24.820000,24.902500,24.902500,40520
2016-02-26,25.245001,25.612499,25.195000,25.514999,25.514999,35980
2016-02-29,25.162500,25.770000,25.102501,25.730000,25.730000,26240
2016-03-01,25.572500,26.215000,25.500000,26.157499,26.157499,30880
2016-03-02,26.934999,26.990000,26.700001,26.725000,26.725000,66780
2016-03-03,26.770000,26.795000,26.242500,26.267500,26.267500,41080
2016-03-04,26.462500,26.709999,25.905001,26.317499,26.317499,33920
2016-03-07,26.215000,26.395000,25.424999,25.642500,25.642500,49380
2016-03-08,25.392500,25.697500,25.152500,25.542500,25.542500,30600
2016-03-09,25.647499,25.895000,25.025000,25.105000,25.105000,33240
2016-03-10,25.535000,26.167500,24.865000,24.950001,24.950001,60220
2016-03-11,25.375000,25.559999,25.227501,25.392500,25.392500,45960
2016-03-14,25.582500,25.860001,25.302500,25.860001,25.860001,39840
2016-03-15,25.740000,25.922501,25.610001,25.842501,25.842501,31640
2016-03-16,26.100000,26.139999,25.922501,25.947500,25.947500,11460
2016-03-17,25.650000,25.650000,24.527500,24.655001,24.655001,55520
2016-03-18,24.930000,25.107500,24.125000,24.517500,24.517500,66820
2016-03-21,24.507500,24.695000,23.915001,24.180000,24.180000,50440
2016-03-22,24.417500,24.892500,24.285000,24.892500,24.892500,47180
2016-03-23,25.049999,25.500000,24.997499,25.395000,25.395000,31700
2016-03-24,25.549999,25.977501,25.272499,25.882500,25.882500,43080
2016-03-29,26.000000,26.309999,25.742500,26.299999,26.299999,30300
2016-03-30,26.280001,26.650000,26.280001,26.344999,26.344999,35640
2016-03-31,26.400000,26.445000,26.129999,26.177500,26.177500,46760
2016-04-01,26.049999,26.285000,25.772499,26.232500,26.232500,32000
2016-04-04,26.410000,26.567499,25.947500,26.062500,26.062500,64280
2016-04-05,25.957500,26.137501,25.865000,25.900000,25.900000,30600
2016-04-06,25.982500,26.170000,25.797501,26.125000,26.125000,29820
2016-04-07,26.445000,26.547501,25.922501,25.940001,25.940001,29100
2016-04-08,26.077499,26.277500,25.950001,25.950001,25.950001,24120
2016-04-11,26.082500,26.397499,26.000000,26.209999,26.209999,25560
2016-04-12,26.212500,26.400000,25.862499,26.337500,26.337500,22060
2016-04-13,26.625000,27.327499,26.459999,27.215000,27.215000,72560
2016-04-14,27.250000,27.674999,27.162500,27.530001,27.530001,33140
2016-04-15,27.677500,27.677500,27.434999,27.610001,27.610001,37020
2016-04-18,27.514999,28.150000,27.400000,27.815001,27.815001,47260
2016-04-19,28.107500,28.282499,27.612499,27.690001,27.690001,62480
2016-04-20,27.517500,28.014999,27.450001,28.014999,28.014999,37120
2016-04-21,28.150000,28.250000,27.752501,28.127501,28.127501,27040
2016-04-22,27.674999,27.930000,27.182501,27.285000,27.285000,32000
2016-04-25,27.580000,27.607500,27.379999,27.500000,27.500000,21980
2016-04-26,27.947500,27.947500,27.257500,27.312500,27.312500,24080
2016-04-27,27.167500,27.174999,26.570000,26.750000,26.750000,34640
2016-04-28,26.900000,27.635000,26.900000,27.445000,27.445000,48200
2016-04-29,29.500000,29.797501,28.712500,28.785000,28.785000,259180
2016-05-02,28.912500,29.402500,28.760000,29.360001,29.360001,47980
2016-05-03,29.650000,29.697500,29.080000,29.337500,29.337500,35500
2016-05-04,29.230000,29.275000,28.844999,29.059999,29.059999,50900
2016-05-05,29.452499,29.600000,29.247499,29.302500,29.302500,14300
2016-05-06,28.885000,29.049999,28.650000,29.020000,29.020000,20640
2016-05-09,29.507500,29.832500,29.417500,29.709999,29.709999,49620
2016-05-10,29.912500,30.797501,29.912500,30.642500,30.642500,67980
2016-05-11,30.959999,31.172501,30.750000,31.132500,31.132500,91180
2016-05-12,31.275000,31.612499,31.184999,31.360001,31.360001,68980
2016-05-13,31.500000,31.782499,31.297501,31.500000,31.500000,60220
2016-05-17,31.500000,31.500000,30.969999,31.150000,31.150000,66580
2016-05-18,30.799999,31.000000,30.674999,30.937500,30.937500,34880
2016-05-19,31.245001,31.245001,30.732500,30.860001,30.860001,42520
2016-05-20,31.200001,31.545000,31.157499,31.500000,31.500000,28320
2016-05-23,31.400000,31.555000,31.160000,31.187500,31.187500,39680
2016-05-24,31.150000,31.637501,30.920000,31.637501,31.637501,70920
2016-05-25,31.799999,31.857500,31.642500,31.725000,31.725000,30400
2016-05-26,31.700001,31.950001,31.567499,31.950001,31.950001,21600
2016-05-27,32.000000,32.139999,31.962500,32.099998,32.099998,27320
2016-05-30,32.299999,32.299999,31.962500,32.099998,32.099998,31580
2016-05-31,32.237499,32.490002,31.969999,32.472500,32.472500,51860
2016-06-01,32.490002,32.527500,32.150002,32.327499,32.327499,78040
2016-06-02,32.222500,32.279999,31.920000,32.259998,32.259998,24260
2016-06-03,32.599998,32.799999,31.670000,31.799999,31.799999,93800
2016-06-06,31.975000,32.189999,31.900000,32.070000,32.070000,24940
2016-06-07,32.112499,32.237499,31.799999,31.950001,31.950001,43700
